S.no,Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
244,"Pizza 14"" diam.",1 section,75,180,8,6,5,t,23,"Breads, cereals, fastfood,grains"
245,Popcorn salted,2 cups,28,152,3,7,2,0.5,20,"Breads, cereals, fastfood,grains"
246,Puffed rice,1 cup,14,55,t,t,0,t,12,"Breads, cereals, fastfood,grains"
247,Puffed wheat presweetened,1 cup,28,105,1,t,0,0.6,26,"Breads, cereals, fastfood,grains"
248,Rice,1 cup,208,748,15,3,0,1.2,154,"Breads, cereals, fastfood,grains"
249,Converted,1 cup,187,677,14,t,0,0.4,142,"Breads, cereals, fastfood,grains"
250,White,1 cup,191,692,14,t,0,0.3,150,"Breads, cereals, fastfood,grains"
251,Rice flakes,1 cup,30,115,2,t,0,0.1,26,"Breads, cereals, fastfood,grains"
252,Rice polish,1/2 cup,50,132,6,6,0,1.2,28,"Breads, cereals, fastfood,grains"
253,Rolls,1 large,50,411,3,12,11,0.1,23,"Breads, cereals, fastfood,grains"
254,of refined flour,1,38,115,3,2,2,t,20,"Breads, cereals, fastfood,grains"
255,whole-wheat,1,40,102,4,1,0,0.1,20,"Breads, cereals, fastfood,grains"
256,Spaghetti with meat sauce,1 cup,250,285,13,10,6,0.5,35,"Breads, cereals, fastfood,grains"
257,with tomatoes and cheese,1 cup,250,210,6,5,3,0.5,36,"Breads, cereals, fastfood,grains"
258,Spanish rice,1 cup,250,217,4,4,0,1.2,40,"Breads, cereals, fastfood,grains"
259,Shredded wheat biscuit,1,28,100,3,1,0,0.7,23,"Breads, cereals, fastfood,grains"
260,Waffles,1,75,240,8,9,1,0.1,30,"Breads, cereals, fastfood,grains"
261,Wheat germ,1 cup,68,245,17,7,3,2.5,34,"Breads, cereals, fastfood,grains"
262,Wheat-germ cereal toasted,1 cup,65,260,20,7,3,2.5,36,"Breads, cereals, fastfood,grains"
263,Wheat meal cereal unrefined,3/4 cup,30,103,4,1,0,0.7,25,"Breads, cereals, fastfood,grains"
264,"Wheat, cooked",3/4 cup,200,275,12,1,0,4.4,35,"Breads, cereals, fastfood,grains"
265,Bean soups,1 cup,250,190,8,5,4,0.6,30,Soups
266,Beef soup,1 cup,250,100,6,4,4,0.5,11,Soups
267,Bouillon,1 cup,240,24,5,0,0,0,0,Soups
268,chicken soup,1 cup,250,75,4,2,2,0,10,Soups
269,Clam chowder,1 cup,255,85,5,2,8,0.5,12,Soups
270,Cream soups,1 cup,255,200,7,12,11,1.2,18,Soups
271,Noodle,1 cup,250,115,6,4,3,0.2,13,Soups
272,Split-pea soup,1 cup,250,147,8,3,3,0.5,25,Soups
273,Tomato soup,1 cup,245,175,6,7,6,0.5,22,Soups
274,Vegetable,1 cup,250,80,4,2,2,0,14,Soups
275,Apple betty,1 serving,100,150,1,4,0,0.5,29,"Desserts, sweets"
276,Bread pudding,3/4 cup,200,374,11,12,11,0.2,56,"Desserts, sweets"
277,Cakes,1 slice,40,110,3,t,0,0,23,"Desserts, sweets"
278,Chocolate fudge,1 slice,120,420,5,14,12,0.3,70,"Desserts, sweets"
279,Cupcake,1,50,160,3,3,2,t,31,"Desserts, sweets"
280,Fruit cake,1 slice,30,105,2,4,3,0.2,17,"Desserts, sweets"
281,Gingerbread,1 slice,55,180,2,7,6,t,28,"Desserts, sweets"
282,"Plain, with no icing",1 slice,55,180,4,5,4,t,31,"Desserts, sweets"
283,Sponge cake,1 slice,40,115,3,2,2,0,22,"Desserts, sweets"
284,Candy,5,25,104,t,3,3,0,19,"Desserts, sweets"
285,Chocolate creams,2,30,130,t,4,4,0,24,"Desserts, sweets"
286,Fudge,2 pieces,90,370,t,12,11,0.1,80,"Desserts, sweets"
287,Hard candies,1 oz.,28,90,t,0,0,0,28,"Desserts, sweets"
288,Marshmallows,5,30,98,1,0,0,0,23,"Desserts, sweets"
289,Milk chocolate,2-oz. bar,56,290,2,6,6,0.2,44,"Desserts, sweets"
